age,gender,ethnicity,priors_count,charge_severity,decile_score,recidivism
30,Male,Hispanic,0,0,7,0
49,Male,African-American,4,0,1,0
53,Male,Caucasian,8,1,5,0
35,Male,African-American,5,1,3,0
63,Male,African-American,10,0,7,1
27,Male,African-American,15,1,10,1
38,Male,Caucasian,4,0,2,1
22,Male,African-American,1,1,4,1
22,Male,African-American,2,1,10,1
29,Male,African-American,4,1,9,1
62,Male,Hispanic,0,0,1,0
27,Male,African-American,6,1,6,1
33,Male,Other,0,0,1,0
56,Female,African-American,0,0,1,0
45,Male,Hispanic,6,1,1,1
22,Male,Hispanic,1,1,4,0
39,Male,African-American,1,0,4,0
29,Male,African-American,5,1,6,1
27,Male,Caucasian,1,1,6,1
40,Male,African-American,2,1,2,0
22,Male,African-American,1,0,3,1
22,Male,Caucasian,0,1,8,0
26,Female,African-American,1,1,4,1
27,Male,Caucasian,1,1,7,1
32,Male,African-American,0,1,2,0
41,Male,African-American,1,0,2,0
30,Male,African-American,8,0,10,1
50,Male,Other,0,1,1,1
25,Male,African-American,14,1,10,1
20,Male,Other,0,1,5,1
22,Male,African-American,2,1,9,1
23,Male,African-American,2,0,7,1
35,Female,African-American,1,0,2,0
36,Male,African-American,9,1,7,1
26,Male,Caucasian,7,1,8,1
21,Male,Other,1,1,6,1
25,Male,Caucasian,9,1,8,1
71,Male,African-American,12,0,7,0
20,Female,Caucasian,0,1,7,0
39,Male,Caucasian,2,1,1,1
66,Male,Caucasian,3,1,1,0
54,Female,Caucasian,0,0,1,0
44,Female,Hispanic,0,0,1,0
19,Male,African-American,1,0,4,1
24,Male,African-American,1,1,2,0
30,Male,African-American,1,1,2,0
39,Female,Caucasian,0,1,1,1
24,Male,Caucasian,8,1,6,1
30,Male,Caucasian,0,1,4,0
31,Male,Caucasian,0,0,5,0
39,Female,Caucasian,1,1,4,0
59,Male,African-American,14,1,9,1
43,Male,Caucasian,1,1,1,0
21,Male,African-American,3,1,9,1
38,Male,Caucasian,5,0,4,1
34,Male,Caucasian,0,1,5,0
33,Male,African-American,5,1,5,1
37,Male,African-American,3,1,2,0
42,Male,Caucasian,1,1,2,1
41,Male,African-American,10,1,9,1
22,Male,African-American,0,1,4,1
33,Male,African-American,28,1,8,1
31,Male,African-American,1,0,7,0
30,Female,Other,1,1,2,0
31,Male,Caucasian,13,1,10,1
27,Male,African-American,3,1,9,1
56,Male,African-American,8,1,9,0
52,Male,Caucasian,3,0,9,0
33,Male,African-American,19,1,10,1
64,Female,Caucasian,2,0,1,0
22,Male,Caucasian,4,1,6,1
42,Male,Caucasian,6,1,3,0
25,Female,Caucasian,2,1,4,0
30,Male,Caucasian,1,0,2,0
28,Male,Caucasian,2,1,1,0
37,Female,Other,2,0,2,0
28,Male,Caucasian,0,0,2,1
24,Female,African-American,0,0,2,0
29,Female,Caucasian,10,1,4,1
44,Male,Caucasian,2,0,2,1
30,Female,Hispanic,4,1,5,1
32,Male,African-American,3,1,7,1
31,Male,Caucasian,2,0,3,1
31,Male,African-American,1,0,2,0
59,Male,Caucasian,1,1,2,1
45,Female,Caucasian,4,1,4,0
20,Female,African-American,1,1,10,0
43,Female,Caucasian,0,0,1,0
38,Male,African-American,9,1,8,1
32,Male,African-American,11,1,6,1
33,Male,African-American,8,0,5,1
31,Female,African-American,0,1,3,1
33,Female,African-American,7,1,9,1
27,Male,African-American,2,1,9,1
20,Female,African-American,0,1,6,0
26,Female,Caucasian,0,0,6,0
61,Female,African-American,1,1,1,1
52,Male,Other,13,1,7,1
63,Male,Hispanic,1,1,1,0
32,Female,African-American,4,1,10,1
29,Male,Hispanic,1,1,4,0
46,Female,Other,1,1,2,0
26,Female,African-American,2,0,4,1
55,Male,African-American,3,0,1,0
39,Male,Caucasian,1,0,4,0
30,Female,Caucasian,3,1,7,1
30,Male,African-American,1,1,7,0
48,Male,Caucasian,2,0,2,0
22,Male,African-American,1,1,2,0
46,Male,Caucasian,6,1,1,1
49,Female,Caucasian,6,1,6,0
31,Male,Caucasian,0,1,5,0
25,Male,African-American,1,0,2,1
23,Male,Hispanic,0,1,3,0
32,Female,African-American,5,1,7,0
52,Male,Hispanic,2,0,1,0
62,Male,African-American,8,1,4,0
37,Female,Caucasian,6,1,10,0
55,Male,Caucasian,1,1,1,0
31,Male,Hispanic,8,1,9,1
28,Male,African-American,6,0,6,1
54,Male,Hispanic,2,1,1,0
58,Male,Hispanic,0,1,2,0
78,Male,Caucasian,1,0,1,1
56,Male,Caucasian,0,1,1,0
24,Male,Other,0,1,2,0
38,Male,African-American,22,1,8,1
22,Male,African-American,1,1,5,1
47,Male,African-American,23,0,8,1
23,Male,African-American,0,0,2,1
57,Male,Hispanic,1,1,1,0
38,Female,Caucasian,2,1,5,1
66,Male,African-American,3,1,1,0
45,Male,Caucasian,8,0,4,1
52,Female,Other,0,0,3,1
32,Male,African-American,13,1,10,1
37,Male,African-American,2,0,9,1
39,Male,Caucasian,0,1,4,1
26,Male,African-American,9,1,9,1
45,Male,Caucasian,2,1,3,0
23,Male,African-American,0,1,3,1
34,Male,African-American,2,0,2,0
23,Female,African-American,1,0,4,0
36,Male,Other,2,0,3,1
50,Male,Caucasian,1,1,1,0
37,Female,Caucasian,0,0,3,0
44,Male,Caucasian,4,0,4,0
35,Female,African-American,23,1,9,1
24,Male,Other,5,1,5,1
26,Male,African-American,2,1,10,1
27,Male,African-American,0,0,2,0
28,Female,African-American,0,1,8,0
43,Male,Caucasian,11,1,5,1
28,Female,Caucasian,7,1,9,1
38,Male,African-American,2,1,1,0
27,Male,Caucasian,2,0,4,0
28,Female,African-American,1,1,9,0
56,Male,Caucasian,7,1,1,1
38,Male,African-American,15,1,9,0
28,Male,African-American,2,0,5,0
45,Male,African-American,3,1,6,0
28,Male,Hispanic,0,0,2,0
61,Male,Caucasian,1,1,1,0
51,Female,Caucasian,0,0,1,1
51,Male,Caucasian,0,0,2,0
36,Male,Other,1,0,1,1
48,Male,African-American,0,1,1,0
37,Male,Caucasian,4,1,3,1
30,Female,African-American,2,1,7,0
41,Female,African-American,5,0,6,0
27,Male,African-American,11,1,10,1
37,Male,African-American,0,0,1,0
33,Male,Other,4,1,4,1
54,Male,African-American,11,1,9,0
23,Male,African-American,2,1,9,0
26,Female,African-American,2,1,4,1
41,Male,African-American,0,0,1,0
52,Male,Caucasian,0,1,1,0
43,Male,Caucasian,13,1,4,1
52,Male,African-American,0,1,4,0
28,Male,Caucasian,1,1,1,0
30,Male,African-American,11,0,9,1
28,Male,Caucasian,1,1,5,0
22,Male,African-American,0,1,4,0
30,Male,African-American,4,1,2,0
25,Male,Hispanic,4,1,4,0
31,Male,Caucasian,0,1,8,1
37,Male,Caucasian,0,1,2,1
32,Male,African-American,14,1,9,0
26,Male,African-American,4,0,8,0
53,Male,Caucasian,1,0,1,0
28,Male,African-American,25,1,8,1
44,Male,Caucasian,8,0,5,1
25,Male,African-American,0,1,3,0
22,Male,Caucasian,1,0,8,1
37,Female,Other,0,0,1,0
40,Female,Other,3,1,2,0
36,Male,Caucasian,8,1,7,1
30,Male,Caucasian,4,1,2,0
22,Male,African-American,3,0,9,1
24,Female,Caucasian,1,0,7,1
27,Male,African-American,3,0,2,1
31,Female,Hispanic,0,0,2,0
23,Male,Hispanic,1,1,6,1
23,Female,Caucasian,5,1,5,1
24,Male,Hispanic,0,0,8,0
29,Male,African-American,1,0,3,0
20,Male,African-American,1,1,8,1
30,Male,African-American,2,1,6,1
39,Male,Other,0,1,1,0
27,Male,African-American,4,1,4,0
31,Male,Caucasian,2,0,4,0
37,Female,African-American,2,1,1,0
20,Male,African-American,0,1,8,0
22,Male,Hispanic,0,1,7,0
52,Female,African-American,0,1,1,0
23,Female,African-American,0,1,4,1
48,Female,African-American,0,1,2,0
66,Male,African-American,8,1,6,1
25,Male,Caucasian,0,1,5,0
27,Male,Caucasian,0,1,6,1
30,Male,African-American,11,1,7,1
22,Male,African-American,3,0,10,1
22,Female,Caucasian,1,1,3,0
35,Male,African-American,2,1,10,0
32,Male,Caucasian,2,1,4,0
41,Female,African-American,2,0,3,0
25,Female,Other,0,1,2,0
44,Male,African-American,24,0,7,0
52,Male,African-American,3,1,6,1
43,Male,African-American,0,1,1,0
37,Male,Caucasian,3,1,1,0
28,Male,African-American,3,0,4,1
70,Male,Caucasian,1,0,1,0
54,Male,Caucasian,6,1,2,1
46,Male,Caucasian,3,1,4,0
21,Male,African-American,0,0,9,1
26,Male,African-American,1,0,8,1
38,Male,Hispanic,3,1,1,1
34,Male,Caucasian,5,0,4,0
19,Male,African-American,1,1,5,1
34,Male,African-American,5,0,4,0
23,Male,Caucasian,0,1,5,1
34,Male,African-American,5,1,4,1
30,Male,African-American,2,1,1,0
39,Male,African-American,6,1,3,1
24,Male,Other,0,1,3,0
33,Male,Caucasian,1,0,3,1
58,Male,Caucasian,2,1,3,0
21,Female,African-American,0,0,6,0
21,Male,African-American,1,1,5,0
23,Male,African-American,4,0,8,1
62,Male,Caucasian,0,1,1,0
27,Male,African-American,4,0,8,1
37,Male,Caucasian,5,1,3,0
43,Male,Other,2,1,2,1
32,Female,African-American,5,1,1,0
23,Male,Hispanic,0,1,3,0
27,Male,African-American,0,0,1,0
44,Male,Caucasian,0,0,1,1
28,Male,Caucasian,3,0,3,1
42,Female,Caucasian,0,1,2,0
24,Male,Other,9,1,10,1
27,Male,African-American,0,1,2,0
20,Male,African-American,0,1,10,1
51,Female,Caucasian,0,0,1,0
56,Male,Caucasian,0,0,1,0
29,Male,African-American,7,1,9,0
20,Male,African-American,0,1,9,1
53,Male,Caucasian,6,1,1,0
27,Male,Caucasian,8,1,5,0
24,Male,African-American,2,1,9,1
53,Male,Caucasian,36,1,6,1
28,Male,Caucasian,2,0,3,1
45,Male,African-American,1,1,1,0
21,Male,Hispanic,3,1,5,0
36,Female,African-American,0,1,7,0
25,Female,Caucasian,2,0,4,1
23,Female,Hispanic,1,0,3,0
28,Male,Caucasian,1,1,5,0
21,Female,African-American,0,1,8,1
36,Male,Caucasian,0,0,3,0
24,Male,African-American,0,1,3,0
28,Male,African-American,3,1,6,1
30,Male,Other,1,1,2,1
29,Male,African-American,0,1,1,0
30,Female,Caucasian,0,0,6,0
51,Male,Hispanic,1,0,1,0
33,Male,Other,3,1,1,0
25,Female,African-American,2,1,6,0
32,Male,African-American,12,1,9,1
23,Male,African-American,1,1,6,0
47,Male,African-American,3,1,3,0
32,Female,Hispanic,1,1,3,1
37,Male,Caucasian,0,1,1,0
19,Male,African-American,2,1,10,1
27,Male,Hispanic,0,0,8,0
39,Male,Other,0,0,1,0
21,Female,Caucasian,0,1,6,0
69,Male,Caucasian,0,0,1,0
21,Male,Caucasian,2,1,6,0
26,Male,African-American,6,0,10,1
22,Male,Caucasian,0,1,4,0
23,Female,African-American,0,1,5,1
49,Male,African-American,3,1,5,0
29,Male,African-American,2,0,4,0
60,Female,Caucasian,0,0,1,0
26,Female,African-American,0,0,10,0
23,Male,African-American,3,1,10,1
34,Male,Hispanic,2,0,5,1
20,Female,Other,1,1,4,0
36,Male,Hispanic,1,1,3,0
30,Male,Caucasian,0,1,4,0
21,Male,African-American,1,1,3,0
22,Male,Caucasian,2,0,6,1
57,Male,African-American,18,1,8,0
21,Male,African-American,4,1,9,1
21,Male,African-American,0,1,5,1
34,Male,Caucasian,1,0,1,0
50,Female,Caucasian,1,0,1,1
40,Male,Caucasian,0,1,7,1
25,Male,African-American,7,1,8,1
53,Female,Caucasian,1,0,1,0
24,Female,African-American,0,1,4,0
42,Male,African-American,1,1,1,0
28,Male,African-American,1,0,3,0
24,Male,Caucasian,1,0,4,0
26,Male,African-American,6,1,8,1
22,Male,African-American,4,1,9,1
21,Male,Caucasian,3,0,7,0
37,Male,African-American,23,1,9,1
35,Male,African-American,2,1,5,0
53,Male,African-American,2,1,1,0
60,Male,African-American,1,1,1,0
29,Male,African-American,7,1,4,0
48,Male,Caucasian,23,1,8,1
52,Female,Caucasian,0,0,1,0
27,Male,African-American,12,1,8,1
28,Male,African-American,5,1,9,0
33,Male,Caucasian,3,0,3,0
28,Female,Hispanic,0,1,2,0
47,Male,Caucasian,5,1,10,1
36,Male,African-American,14,1,7,1
29,Male,African-American,2,1,5,0
22,Male,African-American,0,0,9,1
26,Male,African-American,6,1,7,0
25,Male,Caucasian,0,1,2,0
68,Male,Caucasian,2,1,1,0
56,Male,African-American,5,1,3,0
27,Male,African-American,9,1,8,1
52,Male,Caucasian,4,1,1,1
32,Male,African-American,3,1,2,0
60,Male,Other,4,1,1,0
23,Male,Hispanic,1,0,3,0
39,Female,Caucasian,0,0,6,0
56,Male,Caucasian,0,0,1,0
22,Female,African-American,0,1,7,0
27,Female,African-American,1,1,2,1
53,Male,African-American,11,1,6,0
25,Male,Caucasian,0,0,2,1
21,Male,Hispanic,0,0,3,0
22,Male,Caucasian,0,1,3,0
58,Female,Caucasian,2,0,1,0
31,Male,African-American,7,0,3,1
22,Male,Caucasian,1,1,5,1
28,Male,African-American,8,1,6,1
42,Male,Other,1,1,1,0
20,Male,African-American,0,1,7,1
29,Male,Caucasian,0,0,6,1
29,Male,African-American,8,1,10,0
58,Male,African-American,21,0,7,1
22,Male,African-American,3,1,7,0
48,Male,Hispanic,1,0,1,1
37,Male,Caucasian,0,1,4,0
57,Male,African-American,1,1,5,1
27,Male,Caucasian,3,0,1,0
26,Male,African-American,3,1,4,0
24,Male,Caucasian,3,1,8,1
33,Male,Caucasian,0,1,1,0
29,Male,African-American,2,1,6,0
24,Female,African-American,3,1,10,1
19,Male,Caucasian,1,1,10,1
36,Male,Caucasian,2,0,1,0
24,Female,Caucasian,0,1,5,0
34,Male,Caucasian,0,0,1,0
25,Male,Hispanic,2,1,5,1
20,Male,African-American,1,1,10,1
28,Male,Hispanic,2,0,5,1
24,Male,African-American,1,0,2,1
61,Male,Caucasian,4,1,1,0
50,Female,African-American,3,1,2,0
30,Male,African-American,1,0,1,0
38,Male,African-American,5,1,3,0
24,Male,Caucasian,0,0,1,0
45,Male,African-American,16,1,2,0
46,Female,African-American,2,1,10,1
41,Male,Caucasian,0,0,1,1
20,Male,Other,0,1,8,1
27,Male,African-American,13,0,8,1
51,Female,African-American,16,1,8,0
26,Male,African-American,1,0,6,1
29,Male,African-American,3,1,5,1
52,Male,Caucasian,6,1,5,1
28,Male,Caucasian,1,1,4,1
34,Female,Native American,4,1,7,1
55,Male,African-American,5,1,3,1
26,Male,African-American,10,1,9,1
28,Male,African-American,5,1,10,0
63,Male,Caucasian,2,1,1,0
42,Male,African-American,0,1,1,0
23,Male,African-American,6,1,6,0
54,Male,African-American,28,1,9,1
35,Male,African-American,8,1,7,1
24,Female,African-American,6,1,9,1
54,Male,African-American,2,0,1,0
58,Male,African-American,12,0,6,1
23,Male,Caucasian,1,0,5,1
35,Male,African-American,1,0,2,0
20,Male,African-American,1,1,10,1
51,Male,Caucasian,0,1,1,0
24,Male,Hispanic,0,1,10,0
37,Male,Caucasian,3,1,2,0
47,Male,Caucasian,3,1,1,0
34,Male,Caucasian,4,1,6,1
56,Male,Caucasian,0,1,1,0
34,Male,Hispanic,4,1,1,1
59,Male,Caucasian,1,1,1,1
35,Male,Asian,0,1,6,0
58,Male,Hispanic,1,1,1,0
29,Male,Hispanic,2,0,4,0
24,Female,Caucasian,6,1,9,1
21,Male,Caucasian,2,0,9,1
26,Male,African-American,2,0,9,0
50,Male,Asian,5,1,7,1
26,Male,African-American,1,1,2,0
30,Female,Caucasian,0,0,2,0
29,Male,Caucasian,6,1,9,1
29,Male,Caucasian,0,0,4,1
54,Male,African-American,0,0,1,0
29,Male,African-American,4,1,4,1
59,Female,Caucasian,0,0,1,0
38,Male,African-American,0,1,5,0
22,Female,Hispanic,2,1,5,1
29,Male,African-American,4,1,7,1
27,Male,Caucasian,1,0,3,1
26,Male,Hispanic,7,1,5,1
52,Male,Hispanic,20,1,3,0
66,Male,African-American,33,1,6,1
27,Male,Caucasian,2,1,5,0
51,Male,Caucasian,1,0,1,0
35,Male,Caucasian,1,1,2,0
26,Male,African-American,1,1,7,0
52,Male,Caucasian,4,0,3,0
35,Female,African-American,12,0,2,0
48,Male,Other,12,1,5,0
26,Female,African-American,0,0,2,0
48,Female,Caucasian,0,0,1,0
30,Male,Hispanic,7,0,4,0
28,Male,Other,2,0,1,0
33,Male,African-American,2,0,3,0
34,Female,African-American,6,1,4,0
25,Male,Other,0,0,1,0
59,Male,African-American,10,1,7,1
29,Male,African-American,5,1,5,1
24,Male,Caucasian,0,1,2,0
48,Male,Caucasian,1,1,7,1
55,Male,African-American,0,0,8,1
52,Male,African-American,4,0,5,0
20,Male,African-American,0,1,4,1
25,Male,Caucasian,4,1,4,1
24,Male,Caucasian,0,1,2,0
23,Male,Caucasian,0,0,9,0
27,Male,Caucasian,6,1,4,0
25,Male,African-American,1,0,3,1
31,Male,African-American,0,1,2,0
25,Male,African-American,6,1,4,1
32,Male,Caucasian,1,1,1,1
21,Male,Caucasian,0,1,3,1
37,Male,Other,1,1,1,0
25,Male,Caucasian,0,1,3,0
32,Male,Hispanic,20,1,10,0
35,Male,African-American,0,1,7,0
42,Male,African-American,14,1,7,1
24,Male,Caucasian,9,0,10,1
22,Male,Caucasian,6,1,10,1
21,Male,Hispanic,0,1,6,1
47,Male,Caucasian,1,0,1,0
27,Male,African-American,5,1,9,1
43,Male,Hispanic,2,0,1,1
46,Male,Caucasian,2,1,6,1
44,Male,African-American,1,0,3,0
27,Male,African-American,0,1,5,0
23,Male,Caucasian,2,1,2,0
50,Female,Hispanic,1,1,1,0
42,Male,African-American,8,1,5,0
58,Male,African-American,6,1,6,0
26,Male,African-American,3,1,6,0
48,Female,Other,0,1,1,0
39,Male,African-American,3,1,3,1
21,Male,African-American,3,1,5,1
63,Male,Caucasian,1,0,1,0
22,Male,African-American,3,1,7,1
50,Male,African-American,3,0,3,0
38,Male,African-American,0,1,1,0
41,Male,Caucasian,1,1,6,0
28,Male,African-American,16,1,8,1
30,Female,African-American,0,0,3,0
23,Male,African-American,1,1,5,0
25,Male,Caucasian,2,1,4,1
40,Male,Caucasian,5,1,4,0
24,Male,Hispanic,8,1,8,0
27,Male,African-American,5,0,4,1
44,Male,Caucasian,11,0,3,0
35,Female,African-American,6,1,2,1
42,Male,Caucasian,0,0,1,0
38,Male,African-American,15,1,7,0
26,Male,Hispanic,4,1,6,0
25,Female,African-American,0,0,3,0
24,Male,Caucasian,1,1,4,0
64,Male,Hispanic,1,1,1,0
49,Female,Caucasian,2,0,1,1
50,Male,Caucasian,5,1,1,1
28,Male,Caucasian,8,1,6,1
66,Male,Caucasian,0,0,1,1
46,Female,Caucasian,0,0,1,0
30,Male,African-American,5,1,6,1
22,Female,Caucasian,0,0,3,0
23,Male,Caucasian,1,0,4,0
30,Male,Other,0,0,6,1
24,Male,African-American,10,1,10,1
31,Male,Hispanic,0,0,1,0
31,Male,Other,1,1,2,0
21,Male,African-American,4,1,7,1
28,Male,African-American,4,1,8,0
25,Male,African-American,0,0,3,0
21,Female,Caucasian,0,1,7,0
27,Male,African-American,0,0,2,0
20,Male,Hispanic,0,0,2,1
32,Male,Hispanic,1,1,1,0
24,Female,Caucasian,0,1,5,0
20,Male,African-American,1,1,3,0
31,Male,African-American,3,0,8,1
27,Male,African-American,3,0,7,1
59,Male,African-American,17,1,5,1
40,Male,African-American,0,1,2,0
22,Male,African-American,11,1,10,1
38,Female,African-American,1,1,1,0
36,Male,Hispanic,1,0,10,1
30,Male,African-American,1,0,7,0
27,Male,Caucasian,6,1,6,1
43,Male,African-American,1,0,1,0
59,Female,Caucasian,0,0,1,0
37,Male,Caucasian,2,0,1,0
28,Male,African-American,5,0,7,1
38,Male,Caucasian,0,1,1,0
22,Male,African-American,0,1,8,1
43,Male,Hispanic,1,0,1,0
25,Male,African-American,4,1,5,1
51,Male,Caucasian,0,0,1,0
30,Male,Hispanic,6,1,5,1
29,Male,Caucasian,2,0,2,1
28,Male,African-American,10,1,3,0
26,Male,African-American,6,0,8,0
55,Male,African-American,9,0,3,1
23,Female,Caucasian,3,1,10,0
22,Female,African-American,0,0,5,0
19,Female,Caucasian,2,1,10,1
31,Male,African-American,1,0,1,0
29,Male,African-American,0,0,1,0
61,Male,African-American,15,1,6,1
24,Male,African-American,4,1,10,1
31,Male,Hispanic,0,0,2,0
20,Male,African-American,4,1,9,1
26,Male,Caucasian,3,1,7,1
27,Male,Caucasian,5,0,9,0
25,Male,Caucasian,1,1,5,0
23,Male,Caucasian,3,1,5,1
38,Male,African-American,0,1,1,0
27,Male,African-American,18,1,9,1
35,Female,Caucasian,0,1,3,1
22,Male,Other,0,1,9,0
58,Female,African-American,4,1,2,1
57,Female,Caucasian,0,0,4,1
21,Male,African-American,0,1,3,0
22,Female,African-American,0,1,8,0
30,Male,African-American,0,1,2,0
24,Male,Caucasian,1,1,10,1
22,Male,Caucasian,2,1,4,1
29,Male,Caucasian,3,1,4,1
30,Male,African-American,8,1,8,1
31,Female,African-American,10,1,6,0
45,Female,Caucasian,1,1,6,0
23,Male,African-American,4,1,7,0
39,Male,Caucasian,2,1,2,1
31,Male,African-American,0,1,8,1
22,Male,African-American,1,1,4,1
27,Female,African-American,9,1,2,1
27,Male,African-American,13,1,7,1
38,Male,Caucasian,1,1,1,1
31,Male,African-American,23,1,10,1
47,Male,African-American,20,1,9,0
22,Male,African-American,3,1,7,0
35,Male,African-American,1,0,9,1
23,Male,Hispanic,2,0,6,1
65,Male,African-American,2,0,2,1
35,Male,African-American,0,0,4,0
33,Female,African-American,0,1,3,0
53,Male,Caucasian,1,0,1,0
52,Male,Hispanic,0,1,1,0
21,Male,African-American,0,1,5,0
37,Male,African-American,11,1,4,0
30,Male,Other,4,0,9,1
33,Male,Caucasian,5,1,5,0
31,Male,African-American,2,0,7,0
54,Male,Other,0,1,1,0
31,Female,African-American,0,0,1,0
59,Female,Caucasian,2,1,3,0
27,Male,African-American,0,0,2,0
36,Male,African-American,0,0,7,1
46,Male,African-American,17,1,9,1
22,Male,African-American,3,1,9,0
28,Female,Caucasian,0,0,2,0
34,Female,Caucasian,15,1,9,1
29,Male,Hispanic,7,1,9,1
23,Male,African-American,2,0,10,1
27,Male,African-American,3,1,4,0
21,Male,Asian,0,1,6,1
48,Male,Caucasian,3,1,1,1
30,Male,African-American,15,1,9,1
32,Female,African-American,2,1,2,0
31,Male,African-American,5,1,7,0
36,Male,African-American,4,0,5,0
36,Male,African-American,1,0,5,0
44,Male,African-American,14,1,8,1
53,Male,Caucasian,2,1,1,0
33,Male,African-American,3,0,2,1
21,Male,African-American,2,1,10,0
33,Male,African-American,4,1,8,1
47,Male,Caucasian,2,1,5,1
57,Male,African-American,20,1,7,1
28,Male,African-American,2,0,4,0
24,Male,African-American,1,0,6,0
44,Male,African-American,1,1,1,0
46,Male,African-American,0,1,1,0
37,Male,African-American,6,1,3,0
26,Male,African-American,10,0,6,1
27,Male,African-American,10,1,8,1
40,Male,Caucasian,1,1,2,0
60,Female,Caucasian,9,1,3,1
53,Male,Caucasian,1,1,1,0
26,Male,African-American,8,1,6,0
28,Male,African-American,0,1,1,0
23,Male,Hispanic,0,0,4,0
46,Female,Caucasian,2,1,8,0
23,Male,African-American,0,1,5,1
37,Male,African-American,5,1,1,1
44,Male,African-American,1,0,1,0
50,Male,African-American,18,1,8,1
45,Male,African-American,0,0,1,0
22,Male,African-American,1,1,5,0
26,Male,Caucasian,1,1,2,1
62,Male,Caucasian,0,1,1,0
34,Male,Caucasian,0,0,1,1
24,Male,Hispanic,1,1,10,0
21,Male,Caucasian,0,0,2,0
25,Male,Caucasian,0,1,2,1
68,Male,Caucasian,0,0,1,0
41,Male,Caucasian,2,0,2,0
21,Male,Caucasian,1,1,3,0
37,Female,Hispanic,1,1,3,0
22,Male,African-American,0,1,8,0
38,Male,Caucasian,11,1,4,1
42,Male,Caucasian,1,1,1,0
22,Male,Caucasian,1,1,4,1
45,Male,African-American,0,1,4,1
36,Female,African-American,4,1,10,1
48,Male,African-American,2,1,6,0
45,Female,Caucasian,1,1,1,0
23,Male,African-American,6,1,9,1
24,Male,African-American,0,1,8,0
29,Male,African-American,0,1,2,0
24,Male,African-American,0,1,3,0
50,Male,African-American,11,1,9,0
34,Male,African-American,10,1,7,1
23,Male,African-American,0,1,2,0
22,Female,Caucasian,0,0,5,0
36,Male,Other,0,1,1,0
30,Male,Caucasian,22,1,5,1
21,Male,African-American,0,1,10,1
53,Female,Caucasian,0,1,1,0
24,Male,Caucasian,1,1,3,0
25,Male,African-American,7,0,5,1
25,Female,African-American,1,0,9,0
71,Male,African-American,8,1,1,0
39,Male,African-American,10,0,9,0
37,Female,African-American,0,1,5,0
20,Male,African-American,0,1,5,1
29,Female,African-American,3,1,5,0
22,Male,African-American,2,1,5,1
26,Male,African-American,4,1,7,1
35,Male,Hispanic,5,1,7,0
47,Female,African-American,19,1,10,1
21,Male,Other,1,1,4,1
23,Female,Other,0,0,10,0
20,Female,Caucasian,1,1,8,1
23,Female,African-American,0,1,2,0
27,Male,Native American,3,0,7,0
55,Male,Caucasian,18,1,2,1
53,Female,African-American,0,1,1,0
23,Female,African-American,0,1,7,0
26,Male,African-American,5,1,7,1
25,Male,African-American,6,1,6,0
23,Male,Other,2,0,4,0
27,Male,African-American,4,1,9,1
26,Male,African-American,2,0,3,0
29,Male,African-American,1,0,4,0
27,Male,Other,1,1,2,1
28,Male,Hispanic,0,1,2,0
31,Male,African-American,0,0,2,0
41,Male,African-American,8,1,6,1
25,Male,Caucasian,0,0,2,0
47,Male,Caucasian,0,0,1,0
37,Male,African-American,4,1,2,0
35,Female,African-American,4,1,5,0
24,Male,Caucasian,1,0,4,1
21,Male,Caucasian,2,1,9,1
